simulation_id,n_obs,identity_cov_matrix,p_features,link_function,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage,conf_int_width
1,100,True,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.90182968 1.4247282 ]
1,100,True,80,sine_link,lasso_feature_selection,0.2,0.4,0.2,1.0,True,[0.91148138 1.44828589]
1,100,True,80,sine_link,adaptive_lasso_tuned,0.1,0.5,0.4,4.0,True,[0.94704941 1.31029582]
1,100,False,20,linear_link,boruta_selector,0.5,0.6,0.1,0.2,,
1,100,False,20,linear_link,univariate_feature_selection,1.0,1.9,0.9,0.9,True,[0.69391498 1.14230749]
1,100,False,20,linear_link,lasso_feature_selection,0.9,1.4,0.5,0.5555555555555556,True,[0.72246755 1.11846424]
1,100,False,20,linear_link,adaptive_lasso_tuned,0.8,0.8,0.0,0.0,False,[0.79535835 0.97913189]
1,100,False,20,polynomial_link,boruta_selector,0.2,0.4,0.2,1.0,,
1,100,False,20,polynomial_link,univariate_feature_selection,0.2,0.4,0.2,1.0,,
1,100,False,20,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
1,100,False,20,polynomial_link,adaptive_lasso_tuned,0.1,0.4,0.3,3.0,,
1,100,False,20,sine_link,boruta_selector,0.1,0.1,0.0,0.0,True,[0.59165321 1.2342039 ]
1,100,False,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.59165321 1.2342039 ]
1,100,False,20,sine_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.59165321 1.2342039 ]
1,100,False,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.87654251 1.28732326]
1,100,False,80,linear_link,boruta_selector,0.2,0.5,0.3,1.5,,
1,100,False,80,linear_link,univariate_feature_selection,0.1,0.1,0.0,0.0,,
1,100,False,80,linear_link,lasso_feature_selection,0.6,1.3,0.7,1.1666666666666667,True,[0.74188202 1.16909212]
1,100,False,80,linear_link,adaptive_lasso_tuned,0.8,0.9,0.1,0.125,False,[0.7444804  0.93559994]
1,100,False,80,polynomial_link,boruta_selector,0.3,0.4,0.1,0.3333333333333333,,
1,100,False,80,polynomial_link,univariate_feature_selection,0.4,0.6,0.2,0.5,,
1,100,False,80,polynomial_link,lasso_feature_selection,0.5,0.8,0.3,0.6,,
1,100,False,80,polynomial_link,adaptive_lasso_tuned,0.4,0.8,0.4,1.0,,
