simulation_id,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage
172,univariate_feature_selection,1.0,1.1756756756756757,0.17567567567567569,0.17567567567567569,0.9310344827586207
172,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
172,adaptive_lasso_tuned,0.9594594594594594,0.972972972972973,0.013513513513513514,0.014084507042253521,0.875
173,boruta_selector,0.11842105263157894,0.11842105263157894,0.0,0.0,0.2222222222222222
173,univariate_feature_selection,0.9605263157894737,1.118421052631579,0.15789473684210525,0.1643835616438356,0.8470588235294118
173,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
173,adaptive_lasso_tuned,0.9736842105263158,0.9736842105263158,0.0,0.0,0.8378378378378378
174,boruta_selector,0.16883116883116883,0.19480519480519481,0.025974025974025976,0.15384615384615385,0.2
174,univariate_feature_selection,1.0,1.12987012987013,0.12987012987012986,0.12987012987012986,0.9195402298850575
174,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
174,adaptive_lasso_tuned,0.948051948051948,0.948051948051948,0.0,0.0,0.8493150684931506
175,boruta_selector,0.10810810810810811,0.10810810810810811,0.0,0.0,0.125
175,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.9425287356321839
175,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
175,adaptive_lasso_tuned,0.972972972972973,0.972972972972973,0.0,0.0,0.8888888888888888
176,boruta_selector,0.10666666666666667,0.10666666666666667,0.0,0.0,0.375
176,univariate_feature_selection,1.0,1.16,0.16,0.16,1.0
176,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
176,adaptive_lasso_tuned,0.9733333333333334,0.9733333333333334,0.0,0.0,0.8904109589041096
177,boruta_selector,0.09090909090909091,0.09090909090909091,0.0,0.0,0.42857142857142855
177,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.8850574712643678
177,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
177,adaptive_lasso_tuned,0.948051948051948,0.948051948051948,0.0,0.0,0.8904109589041096
178,boruta_selector,0.09210526315789473,0.10526315789473684,0.013157894736842105,0.14285714285714285,0.375
178,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.6436781609195402
178,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
178,adaptive_lasso_tuned,1.0,1.0,0.0,0.0,0.8947368421052632
179,boruta_selector,0.11842105263157894,0.11842105263157894,0.0,0.0,0.3333333333333333
179,univariate_feature_selection,1.0,1.144736842105263,0.14473684210526316,0.14473684210526316,0.9080459770114943
179,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
179,adaptive_lasso_tuned,0.9605263157894737,0.9605263157894737,0.0,0.0,0.8904109589041096
180,boruta_selector,0.15584415584415584,0.15584415584415584,0.0,0.0,0.6666666666666666
180,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.8620689655172413
180,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
180,adaptive_lasso_tuned,0.961038961038961,0.961038961038961,0.0,0.0,0.8243243243243243
181,boruta_selector,0.10810810810810811,0.13513513513513514,0.02702702702702703,0.25,0.4
181,univariate_feature_selection,1.0,1.1756756756756757,0.17567567567567569,0.17567567567567569,0.9310344827586207
181,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
181,adaptive_lasso_tuned,1.0,1.0,0.0,0.0,0.9594594594594594
182,boruta_selector,0.15384615384615385,0.15384615384615385,0.0,0.0,0.3333333333333333
182,univariate_feature_selection,0.9487179487179487,1.064102564102564,0.11538461538461539,0.12162162162162163,0.6265060240963856
182,lasso_feature_selection,0.02564102564102564,0.038461538461538464,0.01282051282051282,0.5,0.0
182,adaptive_lasso_tuned,0.9487179487179487,0.9615384615384616,0.01282051282051282,0.013513513513513514,0.88
183,boruta_selector,0.10526315789473684,0.11842105263157894,0.013157894736842105,0.125,0.4444444444444444
183,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.8045977011494253
183,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
183,adaptive_lasso_tuned,0.9868421052631579,0.9868421052631579,0.0,0.0,0.8533333333333334
184,boruta_selector,0.10810810810810811,0.13513513513513514,0.02702702702702703,0.25,0.3
184,univariate_feature_selection,0.972972972972973,1.162162162162162,0.1891891891891892,0.19444444444444445,0.7093023255813954
184,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
184,adaptive_lasso_tuned,0.9054054054054054,0.9054054054054054,0.0,0.0,0.6716417910447762
185,boruta_selector,0.13157894736842105,0.17105263157894737,0.039473684210526314,0.3,0.5384615384615384
185,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.9540229885057471
185,lasso_feature_selection,0.013157894736842105,0.039473684210526314,0.02631578947368421,2.0,0.0
185,adaptive_lasso_tuned,0.9342105263157895,0.9342105263157895,0.0,0.0,0.8732394366197183
186,boruta_selector,0.15789473684210525,0.15789473684210525,0.0,0.0,0.4166666666666667
186,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.9080459770114943
186,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
186,adaptive_lasso_tuned,0.868421052631579,0.868421052631579,0.0,0.0,0.6666666666666666
187,boruta_selector,0.12,0.13333333333333333,0.013333333333333334,0.1111111111111111,0.3
187,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.8390804597701149
187,lasso_feature_selection,0.013333333333333334,0.04,0.02666666666666667,2.0,0.0
187,adaptive_lasso_tuned,0.96,0.96,0.0,0.0,0.9166666666666666
188,boruta_selector,0.11842105263157894,0.11842105263157894,0.0,0.0,0.6666666666666666
188,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.896551724137931
188,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
188,adaptive_lasso_tuned,0.9736842105263158,0.9736842105263158,0.0,0.0,0.8918918918918919
189,boruta_selector,0.10666666666666667,0.10666666666666667,0.0,0.0,0.25
189,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.9310344827586207
189,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
189,adaptive_lasso_tuned,0.9733333333333334,0.9733333333333334,0.0,0.0,0.8904109589041096
190,boruta_selector,0.09210526315789473,0.09210526315789473,0.0,0.0,0.0
190,univariate_feature_selection,0.9736842105263158,1.131578947368421,0.15789473684210525,0.16216216216216217,0.9069767441860465
190,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
190,adaptive_lasso_tuned,0.9868421052631579,0.9868421052631579,0.0,0.0,0.88
191,boruta_selector,0.12,0.12,0.0,0.0,0.4444444444444444
191,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.9425287356321839
191,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
191,adaptive_lasso_tuned,0.9333333333333333,0.9333333333333333,0.0,0.0,0.8428571428571429
192,boruta_selector,0.1095890410958904,0.1095890410958904,0.0,0.0,0.375
192,univariate_feature_selection,0.9863013698630136,1.178082191780822,0.1917808219178082,0.19444444444444445,0.7325581395348837
192,lasso_feature_selection,0.0136986301369863,0.0410958904109589,0.0273972602739726,2.0,0.0
192,adaptive_lasso_tuned,0.8767123287671232,0.8767123287671232,0.0,0.0,0.71875
193,boruta_selector,0.14473684210526316,0.15789473684210525,0.013157894736842105,0.09090909090909091,0.5
193,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.9310344827586207
193,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
193,adaptive_lasso_tuned,0.9605263157894737,0.9736842105263158,0.013157894736842105,0.0136986301369863,0.8108108108108109
194,boruta_selector,0.13333333333333333,0.14666666666666667,0.013333333333333334,0.1,0.18181818181818182
194,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.8850574712643678
194,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
194,adaptive_lasso_tuned,0.9866666666666667,1.0,0.013333333333333334,0.013513513513513514,0.8933333333333333
195,boruta_selector,0.16,0.16,0.0,0.0,0.4166666666666667
195,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.9655172413793104
195,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
195,adaptive_lasso_tuned,0.9866666666666667,1.0,0.013333333333333334,0.013513513513513514,0.9333333333333333
196,boruta_selector,0.0945945945945946,0.0945945945945946,0.0,0.0,0.14285714285714285
196,univariate_feature_selection,0.9864864864864865,1.1756756756756757,0.1891891891891892,0.1917808219178082,0.7011494252873564
196,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
196,adaptive_lasso_tuned,0.972972972972973,0.9864864864864865,0.013513513513513514,0.013888888888888888,0.8767123287671232
197,boruta_selector,0.0945945945945946,0.10810810810810811,0.013513513513513514,0.14285714285714285,0.25
197,univariate_feature_selection,1.0,1.1756756756756757,0.17567567567567569,0.17567567567567569,0.9655172413793104
197,lasso_feature_selection,0.02702702702702703,0.04054054054054054,0.013513513513513514,0.5,0.0
197,adaptive_lasso_tuned,0.9459459459459459,0.9459459459459459,0.0,0.0,0.7714285714285715
198,boruta_selector,0.14473684210526316,0.15789473684210525,0.013157894736842105,0.09090909090909091,0.3333333333333333
198,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.7126436781609196
198,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
198,adaptive_lasso_tuned,0.9605263157894737,0.9736842105263158,0.013157894736842105,0.0136986301369863,0.9054054054054054
199,boruta_selector,0.09210526315789473,0.09210526315789473,0.0,0.0,0.2857142857142857
199,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.9310344827586207
199,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
199,adaptive_lasso_tuned,0.9868421052631579,1.0,0.013157894736842105,0.013333333333333334,0.8947368421052632
200,boruta_selector,0.09090909090909091,0.1038961038961039,0.012987012987012988,0.14285714285714285,0.375
200,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.8620689655172413
200,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.3333333333333333
200,adaptive_lasso_tuned,0.974025974025974,0.974025974025974,0.0,0.0,0.8666666666666667
201,boruta_selector,0.09722222222222222,0.1111111111111111,0.013888888888888888,0.14285714285714285,0.125
201,univariate_feature_selection,0.9861111111111112,1.2083333333333333,0.2222222222222222,0.22535211267605634,0.8850574712643678
201,lasso_feature_selection,0.027777777777777776,0.05555555555555555,0.027777777777777776,1.0,0.25
201,adaptive_lasso_tuned,0.9444444444444444,0.9444444444444444,0.0,0.0,0.7647058823529411
202,boruta_selector,0.14285714285714285,0.16883116883116883,0.025974025974025976,0.18181818181818182,0.5384615384615384
202,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.8390804597701149
202,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
202,adaptive_lasso_tuned,0.961038961038961,0.961038961038961,0.0,0.0,0.8108108108108109
203,boruta_selector,0.08860759493670886,0.08860759493670886,0.0,0.0,0.0
203,univariate_feature_selection,0.9873417721518988,1.1012658227848102,0.11392405063291139,0.11538461538461539,0.9310344827586207
203,lasso_feature_selection,0.02531645569620253,0.0379746835443038,0.012658227848101266,0.5,0.0
203,adaptive_lasso_tuned,0.9620253164556962,0.9620253164556962,0.0,0.0,0.8552631578947368
204,boruta_selector,0.18666666666666668,0.18666666666666668,0.0,0.0,0.5
204,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.9310344827586207
204,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
204,adaptive_lasso_tuned,0.9866666666666667,0.9866666666666667,0.0,0.0,0.8918918918918919
205,boruta_selector,0.07792207792207792,0.09090909090909091,0.012987012987012988,0.16666666666666666,0.2857142857142857
205,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.8850574712643678
205,lasso_feature_selection,0.012987012987012988,0.03896103896103896,0.025974025974025976,2.0,0.0
205,adaptive_lasso_tuned,0.8961038961038961,0.8961038961038961,0.0,0.0,0.7536231884057971
206,boruta_selector,0.15584415584415584,0.15584415584415584,0.0,0.0,0.4166666666666667
206,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.9540229885057471
206,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
206,adaptive_lasso_tuned,0.961038961038961,0.961038961038961,0.0,0.0,0.7297297297297297
207,boruta_selector,0.11842105263157894,0.13157894736842105,0.013157894736842105,0.1111111111111111,0.5
207,univariate_feature_selection,0.9868421052631579,1.144736842105263,0.15789473684210525,0.16,0.8735632183908046
207,lasso_feature_selection,0.02631578947368421,0.039473684210526314,0.013157894736842105,0.5,0.0
207,adaptive_lasso_tuned,0.8552631578947368,0.8552631578947368,0.0,0.0,0.4307692307692308
208,boruta_selector,0.12,0.14666666666666667,0.02666666666666667,0.2222222222222222,0.36363636363636365
208,univariate_feature_selection,0.9866666666666667,1.16,0.17333333333333334,0.17567567567567569,0.9655172413793104
208,lasso_feature_selection,0.02666666666666667,0.04,0.013333333333333334,0.5,0.0
208,adaptive_lasso_tuned,0.96,0.9733333333333334,0.013333333333333334,0.013888888888888888,0.8767123287671232
209,boruta_selector,0.1038961038961039,0.11688311688311688,0.012987012987012988,0.125,0.1111111111111111
209,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.9540229885057471
209,lasso_feature_selection,0.025974025974025976,0.03896103896103896,0.012987012987012988,0.5,0.0
209,adaptive_lasso_tuned,0.8571428571428571,0.8571428571428571,0.0,0.0,0.5606060606060606
210,boruta_selector,0.08974358974358974,0.10256410256410256,0.01282051282051282,0.14285714285714285,0.125
210,univariate_feature_selection,0.9871794871794872,1.1153846153846154,0.1282051282051282,0.12987012987012986,0.9310344827586207
210,lasso_feature_selection,0.02564102564102564,0.038461538461538464,0.01282051282051282,0.5,0.0
210,adaptive_lasso_tuned,0.9615384615384616,0.9615384615384616,0.0,0.0,0.8933333333333333
211,boruta_selector,0.09090909090909091,0.11688311688311688,0.025974025974025976,0.2857142857142857,0.2222222222222222
211,univariate_feature_selection,0.987012987012987,1.12987012987013,0.14285714285714285,0.14473684210526316,0.9195402298850575
